ls extensions/wikia -lh | awk '{ print $NF }',Component
SpecialPageViews,
SpecialPromote,Special:Promote
SpecialProtectSite,
SpecialStyleguide,
SpecialUnlockdb,
SpecialUnsubscribe,"Transactional Email"
SpecialUnusedVideos,"Video(legacy)"
SpecialUserData,
SpecialVersion,
SpecialVideos,"Video(legacy)"
SpecialWithoutimages,
SpitfiresContributionExperiments,
SponsorshipDashboard,
SpotifyTag,"Core MediaWiki"
Spotlights,
StaffLog,
StaffPowers,
StaffSig,
Staging,
SwiftSync,
TabView,
TagCloud,
TagsReport,Staff tools
TaskManager,
Tasks,
TemplateClassification,
TemplateDraft,
templates,
TextRegex,
ThemeDesigner,Theme Designer
Thumbnails,Thumbnailer
TimeAgoMessaging,
Timeline,
TOC,
TOCimprovements,
TopLists,
TouchStorm,
TraceViewer,
Track,
TwitterCards,
TwitterTag,
UploadInfo,
UserActivity,Activity Feeds
UserChangesHistory,User Profile
UserLogin,Login & Signup
UserManagementPanel,User Profile
UserPageRedirects,
UserPreferencesV2,User Profile
UserProfilePageV3,User Profile
UserRenameTool,"Staff tools"
UserTools,User Profile
VideoEmbedTool,"Video(legacy)"
VideoHandlers,"Video(legacy)"
VideoPageTool,"Video(legacy)"
VideosModule,"Video(legacy)"
VisitSource,
VisualEditorTourExperiment,"Visual Editor"
VKTag,
Wall,Message Wall
WallNotifications,Notifications (Old)
WAM,"WAM"
WAMPage,"WAM"
WatchSubPages,
WDACReview,
WeiboTag,
WhatIsMyIP,
WhereIsExtension,
WidgetFramework,
WidgetTag,
WikiaApi,"Core MediaWiki"
WikiaBar,
WikiaHomePage,"Home-page"
WikiaHubsServices,"Hubs"
WikiaHubsV3,"Hubs"
WikiaInternal,
WikiaInYourLang,
WikiaIrcGateway,
WikiaLogo,
WikiaMaps,Interactive Maps
WikiaMiniUpload,
WikiaMiscMessages,
WikiaMobile,
WikiaMobileEditor,"Visual Editor"
WikiaNewFiles,
WikiaNewtalk,
WikiaNotifier,
WikiAnswers,Answers
WikiaPhotoGallery,"New Gallery"
WikiaQuiz,
WikiaRecentChangesBlockHandler,
WikiaRSS,
WikiaSeasons,
WikiaSpamRegexBatch,API Spam Protection
WikiaStats,Staff tools
WikiaStyleGuide,
WikiaWantedQueryPage,
WikiaWhiteList,
WikiFactory,WikiFactory
WikiFactoryChangedHooks,WikiFactory
WikiFeatures,
XBoxGamerCardTag,
YouTube,
